source target "does edge exist"
51 34 0
51 35 0
51 36 0
51 39 0
51 40 0
51 45 0
51 46 0
51 48 0
51 50 0
51 266 0
51 267 0
51 2089740 0
51 271 0
51 275 0
51 280 0
51 287 0
51 296 0
51 303 0
51 304 0
51 305 0
51 307 0
51 308 0
51 55 0
51 312 0
51 313 0
51 58 0
51 316 0
51 318 0
51 71 0
51 72 0
51 328 0
51 332 0
51 77 0
51 79 0
51 83 0
51 340 0
51 85 0
51 86 0
51 87 0
51 341 0
51 342 0
51 91 0
51 92 0
51 350 0
51 101 0
51 357 0
51 358 0
51 106 0
51 363 0
51 364 0
51 117 0
51 120 0
51 121 0
51 131 0
51 136 0
51 137 0
51 143 0
51 149 0
51 153 0
51 157 0
51 188 0
51 194 0
51 198 0
51 199 0
51 1384652 0
51 204 0
51 206 0
51 216 0
51 219 0
51 224 0
51 225 0
51 230 0
51 233 0
51 234 0
51 245 0
192 149 1
192 328 1
192 5 0
192 17 0
192 25 0
192 26 0
192 27 0
192 30 0
192 32 0
192 34 0
192 35 0
192 36 0
192 39 0
192 40 0
192 45 0
192 46 0
192 48 0
192 50 0
192 55 0
192 58 0
192 67 0
192 71 0
192 72 0
192 77 0
192 79 0
192 83 0
192 85 0
192 86 0
192 87 0
192 91 0
192 92 0
192 101 0
192 106 0
192 117 0
192 120 0
192 121 0
192 131 0
192 136 0
192 137 0
192 143 0
192 153 0
192 157 0
192 188 0
192 266 0
192 267 0
192 2089740 0
192 271 0
192 275 0
192 280 0
192 287 0
192 296 0
192 303 0
192 304 0
192 305 0
192 307 0
192 308 0
192 312 0
192 313 0
192 316 0
192 318 0
192 194 0
192 198 0
192 199 0
192 200 0
192 1384652 0
192 204 0
192 206 0
192 332 0
192 340 0
192 341 0
192 342 0
192 216 0
192 219 0
192 350 0
192 224 0
192 225 0
192 357 0
192 230 0
192 358 0
192 233 0
192 234 0
192 363 0
192 364 0
192 245 0
5 266 0
5 267 0
5 2089740 0
5 271 0
5 17 0
5 275 0
5 280 0
5 25 0
5 26 0
5 27 0
5 30 0
5 287 0
5 32 0
5 34 0
5 35 0
5 36 0
5 39 0
5 40 0
5 296 0
5 45 0
5 46 0
5 303 0
5 48 0
5 304 0
5 50 0
5 305 0
5 307 0
5 308 0
5 55 0
5 312 0
5 313 0
5 58 0
5 316 0
5 318 0
5 67 0
5 71 0
5 72 0
5 328 0
5 332 0
5 77 0
5 79 0
5 83 0
5 340 0
5 85 0
5 86 0
5 87 0
5 341 0
5 342 0
5 91 0
5 92 0
5 350 0
5 101 0
5 357 0
5 358 0
5 106 0
5 363 0
5 364 0
5 117 0
5 120 0
5 121 0
5 131 0
5 136 0
5 137 0
5 143 0
5 149 0
5 153 0
5 157 0
5 188 0
5 194 0
5 198 0
5 199 0
5 200 0
5 1384652 0
5 204 0
5 206 0
5 216 0
5 219 0
5 224 0
5 225 0
5 230 0
5 233 0
5 234 0
5 245 0
198 17 0
198 25 0
198 26 0
198 27 0
198 30 0
198 32 0
198 34 0
198 35 0
198 36 0
198 39 0
198 40 0
198 45 0
198 46 0
198 48 0
198 50 0
198 55 0
198 58 0
198 67 0
198 71 0
198 72 0
198 77 0
198 79 0
198 83 0
198 85 0
198 86 0
198 87 0
198 91 0
198 92 0
198 101 0
198 106 0
198 117 0
198 120 0
198 121 0
198 131 0
198 136 0
198 137 0
198 143 0
198 149 0
198 153 0
198 157 0
198 188 0
198 194 0
198 266 0
198 267 0
198 2089740 0
198 271 0
198 275 0
198 280 0
198 287 0
198 296 0
198 303 0
198 304 0
198 305 0
198 307 0
198 308 0
198 312 0
198 313 0
198 316 0
198 318 0
198 199 0
198 200 0
198 328 0
198 1384652 0
198 204 0
198 206 0
198 332 0
198 340 0
198 341 0
198 342 0
198 216 0
198 219 0
198 350 0
198 224 0
198 225 0
198 357 0
198 230 0
198 358 0
198 233 0
198 234 0
198 363 0
198 364 0
198 245 0
48 194 1
48 17 0
48 25 0
48 26 0
48 27 0
48 30 0
48 32 0
48 34 0
48 35 0
48 36 0
48 39 0
48 40 0
48 45 0
48 46 0
48 266 0
48 267 0
48 2089740 0
48 271 0
48 275 0
48 280 0
48 287 0
48 296 0
48 303 0
48 304 0
48 305 0
48 50 0
48 307 0
48 308 0
48 55 0
48 312 0
48 313 0
48 58 0
48 316 0
48 318 0
48 67 0
48 71 0
48 72 0
48 328 0
48 332 0
48 77 0
48 79 0
48 83 0
48 340 0
48 85 0
48 86 0
48 87 0
48 341 0
48 342 0
48 91 0
48 92 0
48 350 0
48 101 0
48 357 0
48 358 0
48 106 0
48 363 0
48 364 0
48 117 0
48 120 0
48 121 0
48 131 0
48 136 0
48 137 0
48 143 0
48 149 0
48 153 0
48 157 0
48 188 0
48 199 0
48 200 0
48 1384652 0
48 204 0
48 206 0
48 216 0
48 219 0
48 224 0
48 225 0
48 230 0
48 233 0
48 234 0
48 245 0
194 17 0
194 25 0
194 26 0
194 27 0
194 30 0
194 32 0
194 34 0
194 35 0
194 36 0
194 39 0
194 40 0
194 45 0
194 46 0
194 50 0
194 55 0
194 58 0
194 67 0
194 71 0
194 72 0
194 77 0
194 79 0
194 83 0
194 85 0
194 86 0
194 87 0
194 91 0
194 92 0
194 101 0
194 106 0
194 117 0
194 120 0
194 121 0
194 131 0
194 136 0
194 137 0
194 143 0
194 149 0
194 153 0
194 157 0
194 188 0
194 266 0
194 267 0
194 2089740 0
194 271 0
194 275 0
194 280 0
194 287 0
194 296 0
194 303 0
194 304 0
194 305 0
194 307 0
194 308 0
194 312 0
194 313 0
194 316 0
194 318 0
194 199 0
194 200 0
194 328 0
194 1384652 0
194 204 0
194 206 0
194 332 0
194 340 0
194 341 0
194 342 0
194 216 0
194 219 0
194 350 0
194 224 0
194 225 0
194 357 0
194 230 0
194 358 0
194 233 0
194 234 0
194 363 0
194 364 0
194 245 0
342 91 1
342 17 0
342 25 0
342 26 0
342 27 0
342 30 0
342 32 0
342 34 0
342 35 0
342 36 0
342 39 0
342 40 0
342 45 0
342 46 0
342 50 0
342 55 0
342 58 0
342 67 0
342 71 0
342 72 0
342 77 0
342 79 0
342 83 0
342 85 0
342 86 0
342 87 0
342 92 0
342 101 0
342 106 0
342 117 0
342 120 0
342 121 0
342 131 0
342 136 0
342 137 0
342 143 0
342 149 0
342 153 0
342 157 0
342 188 0
342 199 0
342 200 0
342 1384652 0
342 204 0
342 206 0
342 216 0
342 219 0
342 224 0
342 225 0
342 230 0
342 233 0
342 234 0
342 245 0
342 266 0
342 267 0
342 2089740 0
342 271 0
342 275 0
342 280 0
342 287 0
342 296 0
342 303 0
342 304 0
342 305 0
342 307 0
342 308 0
342 312 0
342 313 0
342 316 0
342 318 0
342 328 0
342 332 0
342 340 0
342 341 0
342 357 0
342 358 0
342 363 0
342 364 0
342 350 0
91 121 1
91 266 1
91 316 1
91 58 1
91 303 1
91 27 1
91 136 1
91 308 1
91 17 1
91 87 1
91 25 0
91 26 0
91 30 0
91 32 0
91 34 0
91 35 0
91 36 0
91 39 0
91 40 0
91 45 0
91 46 0
91 50 0
91 55 0
91 67 0
91 71 0
91 72 0
91 77 0
91 79 0
91 83 0
91 85 0
91 86 0
91 131 0
91 137 0
91 267 0
91 2089740 0
91 143 0
91 271 0
91 275 0
91 149 0
91 280 0
91 153 0
91 157 0
91 287 0
91 296 0
91 304 0
91 305 0
91 307 0
91 312 0
91 313 0
91 188 0
91 318 0
91 199 0
91 200 0
91 328 0
91 1384652 0
91 204 0
91 206 0
91 332 0
91 340 0
91 341 0
91 216 0
91 219 0
91 92 0
91 350 0
91 224 0
91 225 0
91 101 0
91 230 0
91 357 0
91 358 0
91 233 0
91 106 0
91 234 0
91 363 0
91 364 0
91 117 0
91 245 0
91 120 0
46 188 1
46 308 1
46 17 0
46 25 0
46 26 0
46 27 0
46 30 0
46 32 0
46 34 0
46 35 0
46 36 0
46 39 0
46 40 0
46 45 0
46 266 0
46 267 0
46 2089740 0
46 271 0
46 275 0
46 280 0
46 287 0
46 296 0
46 303 0
46 304 0
46 50 0
46 305 0
46 307 0
46 55 0
46 312 0
46 313 0
46 58 0
46 316 0
46 318 0
46 67 0
46 71 0
46 72 0
46 328 0
46 332 0
46 77 0
46 79 0
46 83 0
46 340 0
46 85 0
46 86 0
46 87 0
46 341 0
46 92 0
46 350 0
46 101 0
46 357 0
46 358 0
46 106 0
46 363 0
46 364 0
46 117 0
46 120 0
46 121 0
46 131 0
46 136 0
46 137 0
46 143 0
46 149 0
46 153 0
46 157 0
46 199 0
46 200 0
46 1384652 0
46 204 0
46 206 0
46 216 0
46 219 0
46 224 0
46 225 0
46 230 0
46 233 0
46 234 0
46 245 0
137 26 1
137 136 1
137 17 0
137 25 0
137 27 0
137 30 0
137 32 0
137 34 0
137 35 0
137 36 0
137 39 0
137 40 0
137 45 0
137 50 0
137 55 0
137 58 0
137 67 0
137 71 0
137 72 0
137 77 0
137 79 0
137 83 0
137 85 0
137 86 0
137 87 0
137 92 0
137 101 0
137 106 0
137 117 0
137 120 0
137 121 0
137 131 0
137 266 0
137 267 0
137 2089740 0
137 143 0
137 271 0
137 275 0
137 149 0
137 280 0
137 153 0
137 157 0
137 287 0
137 296 0
137 303 0
137 304 0
137 305 0
137 307 0
137 308 0
137 312 0
137 313 0
137 188 0
137 316 0
137 318 0
137 199 0
137 200 0
137 328 0
137 1384652 0
137 204 0
137 206 0
137 332 0
137 340 0
137 341 0
137 216 0
137 219 0
137 350 0
137 224 0
137 225 0
137 357 0
137 230 0
137 358 0
137 233 0
137 234 0
137 363 0
137 364 0
137 245 0
332 358 1
332 17 0
332 25 0
332 26 0
332 27 0
332 30 0
332 32 0
332 34 0
332 35 0
332 36 0
332 39 0
332 40 0
332 45 0
332 50 0
332 55 0
332 58 0
332 67 0
332 71 0
332 72 0
332 77 0
332 79 0
332 83 0
332 85 0
332 86 0
332 87 0
332 92 0
332 101 0
332 106 0
332 117 0
332 120 0
332 121 0
332 131 0
332 136 0
332 143 0
332 149 0
332 153 0
332 157 0
332 188 0
332 199 0
332 200 0
332 1384652 0
332 204 0
332 206 0
332 216 0
332 219 0
332 224 0
332 225 0
332 230 0
332 233 0
332 234 0
332 245 0
332 266 0
332 267 0
332 2089740 0
332 271 0
332 275 0
332 280 0
332 287 0
332 296 0
332 303 0
332 304 0
332 305 0
332 307 0
332 308 0
332 312 0
332 313 0
332 316 0
332 318 0
332 328 0
332 357 0
332 363 0
332 364 0
332 340 0
332 341 0
332 350 0
358 364 1
358 307 1
358 2089740 1
358 216 1
358 40 1
358 101 1
358 17 0
358 25 0
358 26 0
358 27 0
358 30 0
358 32 0
358 34 0
358 35 0
358 36 0
358 39 0
358 45 0
358 50 0
358 55 0
358 58 0
358 67 0
358 71 0
358 72 0
358 77 0
358 79 0
358 83 0
358 85 0
358 86 0
358 87 0
358 92 0
358 106 0
358 117 0
358 120 0
358 121 0
358 131 0
358 136 0
358 143 0
358 149 0
358 153 0
358 157 0
358 188 0
358 199 0
358 200 0
358 1384652 0
358 204 0
358 206 0
358 219 0
358 224 0
358 225 0
358 230 0
358 233 0
358 234 0
358 245 0
358 266 0
358 267 0
358 271 0
358 275 0
358 280 0
358 287 0
358 296 0
358 303 0
358 304 0
358 305 0
358 308 0
358 312 0
358 313 0
358 316 0
358 318 0
358 328 0
358 340 0
358 341 0
358 350 0
358 357 0
358 363 0
266 17 0
266 25 0
266 26 0
266 27 0
266 30 0
266 32 0
266 34 0
266 35 0
266 36 0
266 39 0
266 40 0
266 45 0
266 50 0
266 55 0
266 58 0
266 67 0
266 71 0
266 72 0
266 77 0
266 79 0
266 83 0
266 85 0
266 86 0
266 87 0
266 92 0
266 101 0
266 106 0
266 117 0
266 120 0
266 121 0
266 131 0
266 136 0
266 143 0
266 149 0
266 153 0
266 157 0
266 188 0
266 199 0
266 200 0
266 1384652 0
266 204 0
266 206 0
266 216 0
266 219 0
266 224 0
266 225 0
266 230 0
266 233 0
266 234 0
266 245 0
266 328 0
266 267 0
266 2089740 0
266 271 0
266 275 0
266 340 0
266 341 0
266 280 0
266 350 0
266 287 0
266 357 0
266 296 0
266 363 0
266 364 0
266 303 0
266 304 0
266 305 0
266 307 0
266 308 0
266 312 0
266 313 0
266 316 0
266 318 0
200 340 1
200 58 1
200 17 0
200 25 0
200 26 0
200 27 0
200 30 0
200 32 0
200 34 0
200 35 0
200 36 0
200 39 0
200 40 0
200 45 0
200 50 0
200 55 0
200 67 0
200 71 0
200 72 0
200 77 0
200 79 0
200 83 0
200 85 0
200 86 0
200 87 0
200 92 0
200 101 0
200 106 0
200 117 0
200 120 0
200 121 0
200 131 0
200 136 0
200 143 0
200 149 0
200 153 0
200 157 0
200 188 0
200 199 0
200 267 0
200 2089740 0
200 271 0
200 275 0
200 280 0
200 287 0
200 296 0
200 303 0
200 304 0
200 305 0
200 307 0
200 308 0
200 312 0
200 313 0
200 316 0
200 318 0
200 328 0
200 1384652 0
200 204 0
200 206 0
200 341 0
200 216 0
200 219 0
200 350 0
200 224 0
200 225 0
200 357 0
200 230 0
200 233 0
200 234 0
200 363 0
200 364 0
200 245 0
188 25 1
188 1384652 1
188 304 1
188 17 0
188 26 0
188 27 0
188 30 0
188 32 0
188 34 0
188 35 0
188 36 0
188 39 0
188 40 0
188 45 0
188 50 0
188 55 0
188 58 0
188 67 0
188 71 0
188 72 0
188 77 0
188 79 0
188 83 0
188 85 0
188 86 0
188 87 0
188 92 0
188 101 0
188 106 0
188 117 0
188 120 0
188 121 0
188 131 0
188 136 0
188 143 0
188 149 0
188 153 0
188 157 0
188 267 0
188 2089740 0
188 271 0
188 275 0
188 280 0
188 287 0
188 296 0
188 303 0
188 305 0
188 307 0
188 308 0
188 312 0
188 313 0
188 316 0
188 318 0
188 199 0
188 328 0
188 204 0
188 206 0
188 340 0
188 341 0
188 216 0
188 219 0
188 350 0
188 224 0
188 225 0
188 357 0
188 230 0
188 233 0
188 234 0
188 363 0
188 364 0
188 245 0
67 17 0
67 25 0
67 26 0
67 27 0
67 30 0
67 32 0
67 34 0
67 35 0
67 36 0
67 39 0
67 40 0
67 45 0
67 50 0
67 55 0
67 58 0
67 267 0
67 2089740 0
67 271 0
67 275 0
67 280 0
67 287 0
67 296 0
67 303 0
67 304 0
67 305 0
67 307 0
67 308 0
67 312 0
67 313 0
67 316 0
67 318 0
67 71 0
67 72 0
67 328 0
67 77 0
67 79 0
67 83 0
67 340 0
67 85 0
67 86 0
67 87 0
67 341 0
67 92 0
67 350 0
67 101 0
67 357 0
67 106 0
67 363 0
67 364 0
67 117 0
67 120 0
67 121 0
67 131 0
67 136 0
67 143 0
67 149 0
67 153 0
67 157 0
67 199 0
67 1384652 0
67 204 0
67 206 0
67 216 0
67 219 0
67 224 0
67 225 0
67 230 0
67 233 0
67 234 0
67 245 0
117 17 0
117 25 0
117 26 0
117 27 0
117 30 0
117 32 0
117 34 0
117 35 0
117 36 0
117 39 0
117 40 0
117 45 0
117 50 0
117 55 0
117 58 0
117 71 0
117 72 0
117 77 0
117 79 0
117 83 0
117 85 0
117 86 0
117 87 0
117 92 0
117 101 0
117 106 0
117 131 0
117 136 0
117 267 0
117 2089740 0
117 143 0
117 271 0
117 275 0
117 149 0
117 280 0
117 153 0
117 157 0
117 287 0
117 296 0
117 303 0
117 304 0
117 305 0
117 307 0
117 308 0
117 312 0
117 313 0
117 316 0
117 318 0
117 199 0
117 328 0
117 1384652 0
117 204 0
117 206 0
117 340 0
117 341 0
117 216 0
117 219 0
117 350 0
117 224 0
117 225 0
117 357 0
117 230 0
117 233 0
117 234 0
117 363 0
117 364 0
117 245 0
117 120 0
117 121 0
364 17 0
364 25 0
364 26 0
364 27 0
364 30 0
364 32 0
364 34 0
364 35 0
364 36 0
364 39 0
364 40 0
364 45 0
364 50 0
364 55 0
364 58 0
364 71 0
364 72 0
364 77 0
364 79 0
364 83 0
364 85 0
364 86 0
364 87 0
364 92 0
364 101 0
364 106 0
364 120 0
364 121 0
364 131 0
364 136 0
364 143 0
364 149 0
364 153 0
364 157 0
364 199 0
364 1384652 0
364 204 0
364 206 0
364 216 0
364 219 0
364 224 0
364 225 0
364 230 0
364 233 0
364 234 0
364 245 0
364 267 0
364 2089740 0
364 271 0
364 275 0
364 280 0
364 287 0
364 296 0
364 303 0
364 304 0
364 305 0
364 307 0
364 308 0
364 312 0
364 313 0
364 316 0
364 318 0
364 328 0
364 340 0
364 341 0
364 350 0
364 357 0
364 363 0
307 25 1
307 304 1
307 157 1
307 1384652 1
307 225 1
307 106 1
307 350 1
307 17 0
307 26 0
307 27 0
307 30 0
307 32 0
307 34 0
307 35 0
307 36 0
307 39 0
307 40 0
307 45 0
307 50 0
307 55 0
307 58 0
307 71 0
307 72 0
307 77 0
307 79 0
307 83 0
307 85 0
307 86 0
307 87 0
307 92 0
307 101 0
307 120 0
307 121 0
307 131 0
307 136 0
307 143 0
307 149 0
307 153 0
307 199 0
307 204 0
307 206 0
307 216 0
307 219 0
307 224 0
307 230 0
307 233 0
307 234 0
307 245 0
307 267 0
307 2089740 0
307 271 0
307 275 0
307 280 0
307 287 0
307 296 0
307 303 0
307 305 0
307 357 0
307 328 0
307 363 0
307 308 0
307 340 0
307 341 0
307 312 0
307 313 0
307 316 0
307 318 0
230 17 0
230 25 0
230 26 0
230 27 0
230 30 0
230 32 0
230 34 0
230 35 0
230 36 0
230 39 0
230 40 0
230 45 0
230 50 0
230 55 0
230 58 0
230 71 0
230 72 0
230 77 0
230 79 0
230 83 0
230 85 0
230 86 0
230 87 0
230 92 0
230 101 0
230 106 0
230 120 0
230 121 0
230 131 0
230 136 0
230 143 0
230 149 0
230 153 0
230 157 0
230 199 0
230 1384652 0
230 204 0
230 206 0
230 216 0
230 219 0
230 224 0
230 225 0
230 267 0
230 2089740 0
230 271 0
230 275 0
230 280 0
230 287 0
230 296 0
230 303 0
230 304 0
230 305 0
230 308 0
230 312 0
230 313 0
230 316 0
230 318 0
230 328 0
230 340 0
230 341 0
230 350 0
230 357 0
230 233 0
230 234 0
230 363 0
230 245 0
83 120 1
83 17 0
83 25 0
83 26 0
83 27 0
83 30 0
83 32 0
83 34 0
83 35 0
83 36 0
83 39 0
83 40 0
83 45 0
83 50 0
83 55 0
83 58 0
83 71 0
83 72 0
83 77 0
83 79 0
83 267 0
83 2089740 0
83 271 0
83 275 0
83 280 0
83 287 0
83 296 0
83 303 0
83 304 0
83 305 0
83 308 0
83 312 0
83 313 0
83 316 0
83 318 0
83 328 0
83 340 0
83 85 0
83 86 0
83 87 0
83 341 0
83 92 0
83 350 0
83 101 0
83 357 0
83 106 0
83 363 0
83 121 0
83 131 0
83 136 0
83 143 0
83 149 0
83 153 0
83 157 0
83 199 0
83 1384652 0
83 204 0
83 206 0
83 216 0
83 219 0
83 224 0
83 225 0
83 233 0
83 234 0
83 245 0
120 17 0
120 25 0
120 26 0
120 27 0
120 30 0
120 32 0
120 34 0
120 35 0
120 36 0
120 39 0
120 40 0
120 45 0
120 50 0
120 55 0
120 58 0
120 71 0
120 72 0
120 77 0
120 79 0
120 85 0
120 86 0
120 87 0
120 92 0
120 101 0
120 106 0
120 131 0
120 136 0
120 267 0
120 2089740 0
120 143 0
120 271 0
120 275 0
120 149 0
120 280 0
120 153 0
120 157 0
120 287 0
120 296 0
120 303 0
120 304 0
120 305 0
120 308 0
120 312 0
120 313 0
120 316 0
120 318 0
120 199 0
120 328 0
120 1384652 0
120 204 0
120 206 0
120 340 0
120 341 0
120 216 0
120 219 0
120 350 0
120 224 0
120 225 0
120 357 0
120 233 0
120 234 0
120 363 0
120 245 0
120 121 0
87 86 1
87 17 0
87 25 0
87 26 0
87 27 0
87 30 0
87 32 0
87 34 0
87 35 0
87 36 0
87 39 0
87 40 0
87 45 0
87 50 0
87 55 0
87 58 0
87 71 0
87 72 0
87 77 0
87 79 0
87 85 0
87 131 0
87 136 0
87 267 0
87 2089740 0
87 143 0
87 271 0
87 275 0
87 149 0
87 280 0
87 153 0
87 157 0
87 287 0
87 296 0
87 303 0
87 304 0
87 305 0
87 308 0
87 312 0
87 313 0
87 316 0
87 318 0
87 199 0
87 328 0
87 1384652 0
87 204 0
87 206 0
87 340 0
87 341 0
87 216 0
87 92 0
87 219 0
87 350 0
87 224 0
87 225 0
87 101 0
87 357 0
87 233 0
87 106 0
87 234 0
87 363 0
87 245 0
87 121 0
296 17 0
296 25 0
296 26 0
296 27 0
296 30 0
296 32 0
296 34 0
296 35 0
296 36 0
296 39 0
296 40 0
296 45 0
296 50 0
296 55 0
296 58 0
296 71 0
296 72 0
296 77 0
296 79 0
296 85 0
296 86 0
296 92 0
296 101 0
296 106 0
296 121 0
296 131 0
296 136 0
296 143 0
296 149 0
296 153 0
296 157 0
296 199 0
296 1384652 0
296 204 0
296 206 0
296 216 0
296 219 0
296 224 0
296 225 0
296 233 0
296 234 0
296 245 0
296 267 0
296 2089740 0
296 271 0
296 275 0
296 280 0
296 287 0
296 328 0
296 340 0
296 341 0
296 350 0
296 357 0
296 363 0
296 303 0
296 304 0
296 305 0
296 308 0
296 312 0
296 313 0
296 316 0
296 318 0
136 77 1
136 30 1
136 55 1
136 50 1
136 350 1
136 17 1
136 199 1
136 25 0
136 26 0
136 27 0
136 32 0
136 34 0
136 35 0
136 36 0
136 39 0
136 40 0
136 45 0
136 58 0
136 71 0
136 72 0
136 79 0
136 85 0
136 86 0
136 92 0
136 101 0
136 106 0
136 121 0
136 131 0
136 267 0
136 2089740 0
136 143 0
136 271 0
136 275 0
136 149 0
136 280 0
136 153 0
136 157 0
136 287 0
136 303 0
136 304 0
136 305 0
136 308 0
136 312 0
136 313 0
136 316 0
136 318 0
136 328 0
136 1384652 0
136 204 0
136 206 0
136 340 0
136 341 0
136 216 0
136 219 0
136 224 0
136 225 0
136 357 0
136 233 0
136 234 0
136 363 0
136 245 0
340 304 1
340 40 1
340 92 1
340 17 0
340 25 0
340 26 0
340 27 0
340 30 0
340 32 0
340 34 0
340 35 0
340 36 0
340 39 0
340 45 0
340 50 0
